Before Your Memory Fades | Toshikazu Kawaguchi | contemporary,spl,scld
A Christmas Cornucopia | Mark Forsyth | christmas
An Unwelcome Quest | Scott Meyer | kindle-unlimited,fantasy
Christmas: A Biography | Judith Flanders | christmas
The Christmas Chronicles | Nigel Slater | christmas
The Haunted Man | Charles Dickens | ghosts,owned
Some Christmas Stories | Charles Dickens | christmas,owned
The Battle of Life | Charles Dickens | christmas,owned
The Cricket on the Hearth | Charles Dickens | christmas,owned
The Chimes | Charles Dickens | christmas,owned
The Penguin Book of Christmas Stories | Jessica Harrison | christmas,scld
Mary Poppins and the House Next Door | P.L. Travers | kids
Mary Poppins in Cherry Tree Lane | P.L. Travers | kids
Mary Poppins Opens the Door | P.L. Travers | kids,owned
Mary Poppins in the Park | P.L. Travers | kids
Letters to Santa Claus | The Elves | christmas
Milky Way Railroad | Kenji Miyazawa | japan,owned
Conspiracy | Ryan Holiday | owned,knowledge
A (Very) Short History of Life on Earth | Henry Gee | knowledge,spl,scld
Christmas Ghosts | Kathryn Cramer | christmas,ghosts
Very Good Lives | J.K. Rowling | libby,memoir
The Odyssey | Homer | owned,poetry
The Vexed Generation | Scott Meyer | kindle-unlimited,fantasy
Out of Spite, Out of Mind | Scott Meyer | kindle-unlimited,fantasy
Fight and Flight | Scott Meyer | kindle-unlimited,fantasy
Annihilation | Jeff VanderMeer | libby,thriller
Zen in The Art of Writing | Ray Bradbury | libby,writing
The Path Through the Trees | Christopher Milne | memoir
The Enchanted Places | Christopher Milne | memoir
Buddha | Karen Armstrong | buddhism
Atlas Obscura | Joshua Foer | libby,travel
Witch Rising | Paige McKenzie | supernatural
B*WITCH | Paige McKenzie | supernatural,spl,scld
How to Stop Time | Matt Haig | contemporary,owned
The Man Who Mistook His Wife For A Hat | Oliver Sacks | knowledge,spl,scld
Center Within | Gyomay M. Kubose | buddhism
Stranger Things: Rebel Robin | A.R. Capetta | stranger-things
The Natural World of Winnie-the-Pooh | Kathryn Aalto | nature,spl,scld
The Mysterious Stranger Manuscripts | Mark Twain | owned,supernatural
May-Day and Other Pieces | Ralph Waldo Emerson | owned,essay
North of Boston | Robert Frost | owned,essay
A Plea for Captain John Brown | Henry David Thoreau | owned,essay
The Poet | Ralph Waldo Emerson | essay,owned
Essays - First Series | Ralph Waldo Emerson | owned,essay
The Oxford Book of American Essays | Brander Matthews | owned,essay
How to Tell a Story and Other Essays | Mark Twain | writing,owned,essay
A Scanner Darkly | Philip K. Dick | scifi,spl,scld
Goodbye Christopher Robin | Ann Thwaite | biography,scld
The Autobiography of Santa Claus | Jeff Guinn | christmas
The Krampus and the Old, Dark Christmas | Al Ridenour | christmas,owned
Receptor | Alan Glynn | scifi
Totto-chan | Tetsuko Kuroyanagi | parenting,scld
Full Frontal Feminism | Jessica Valenti | feminism
Stranger Things: Runaway Max | Brenna Yovanoff | stranger-things,scld
The Divine Comedy | Dante Alighieri | owned,poetry
Alice's Adventures in Wonderland | Lewis Carroll | owned,kids
Gmorning, Gnight! | Lin-Manuel Miranda | memoir,owned
Nutcracker | E.T.A. Hoffmann | christmas,owned
The Elves and the Shoemaker | Jim LaMarche | christmas,owned
Stranger Things: Suspicious Minds | Gwenda Bond | stranger-things,spl,scld
The History of the Decline and Fall of the Roman Empire Volume I | Edward Gibbon | owned,knowledge
The Federalist Papers | Alexander Hamilton | owned,knowledge
Steal This Book | Abbie Hoffman | knowledge,spl,scld
Cut It Out | Banksy | art,owned
Wall and Piece | Banksy | art,owned
Uncommon Grounds | Mark Pendergrast | coffee,spl,scld
Through the Looking-Glass and What Alice Found There | Lewis Carroll | owned,kids
How to Ruin Everything | George Watsky | owned,memoir
Common Sense | Thomas Paine | owned,essay
Shady Characters | Keith Houston | knowledge,spl
Stranger Things: Darkness on the Edge of Town | Adam Christopher | stranger-things,spl,scld
The Minority Report | Philip K. Dick | scifi
Miracle on 34th Street | Valentine Davies | christmas
Do Androids Dream of Electric Sheep? | Philip K. Dick | libby,scifi
Emotional Intelligence 2.0 | Travis Bradberry | self,libby
Grimm's Fairy Tales | Jacob Grimm | owned,kids
Aesop's Fables | Aesop | owned,kids
Ark | Veronica Roth | owned,scifi
Emergency Skin | N.K. Jemisin | owned,scifi
Summer Frost | Blake Crouch | owned,scifi
Trust Me, I'm Lying | Ryan Holiday | owned,knowledge
On Anger | Seneca | owned,philosophy
Harry Potter and the Cursed Child: Parts One and Two | John Tiffany | owned,kids
Cape Cod | Henry David Thoreau | owned,essay
Walking | Henry David Thoreau | owned,essay
On the Decay of the Art of Lying | Mark Twain | owned,essay
Old Christmas | Washington Irving | christmas,owned
The Reynolds Pamphlet | Alexander Hamilton | owned,memoir
Political Writings of Thomas Jefferson | Thomas Jefferson | owned,knowledge,essay
1776 | David McCullough | owned,knowledge
How to Make Coffee | Lani Kingston | coffee
Micro Science Fiction | O. Westin | scifi
Fight Club 3 | Chuck Palahniuk | thriller
One Hundred, Ten, and One | O. Westin | short-stories
Village Christmas | Laurie Lee | christmas,owned
Legends & Lattes | Travis Baldree | fantasy,spl,scld
Bookshops & Bonedust | Travis Baldree | fantasy,spl,scld
Detox Your Thoughts | Andrea Bonior, PHD | self,owned
Intuitive Eating | Evelyn Tribole | self,owned
Discover Your Dharma | Sahara Rose | self,owned
After the Rain | Alexandra Elle | self,owned
Trust Yourself | Melody Wilding | self,owned
Am I Overthinking This? | Michelle Rial | self,owned
Connoisseur Kids | Jennifer L. Scott | parenting,owned
Art Inc. | Meg Mateo Ilasco | art,owned
Simplicity at Home | Yumiko Sekine | japan,owned
Natural Palettes | Sasha Duerr | art,owned
Breathwork | Andrew Smart | self,owned
How to be a Moonflower | Katie Daisy | self,owned
Terrarium | Anna Bauer | gardening,owned
The Deepest Peace | Zenju Earthlyn Manuel | buddhism,owned
This Difficult Thing of Being Human | Bodhipaksa | buddhism,owned
The 7 Laws of Enough | Gina LaRoche | buddhism,owned
The Sun My Heart | Thich Nhat Hanh | buddhism,owned
Holding Space | Amy Wright Glenn | buddhism,owned
Reconciliation | Thich Nhat Hanh | buddhism,owned
Awakening of the Heart | Thich Nhat Hanh | buddhism,owned
Happiness | Thich Nhat Hanh | buddhism,owned
No Mud, No Lotus | Thich Nhat Hanh | buddhism,owned
Healing Resistance | Kazu Haga | buddhism,owned
The Other Shore | Thich Nhat Hanh | buddhism,owned
Making Friends with the Present Moment | Sylvia Boorstein | buddhism,owned
The Mindfulness Survival Kit | Thich Nhat Hanh | buddhism,owned
The Heart of Understanding | Thich Nhat Hanh | buddhism,owned
Understanding Our Mind | Thich Nhat Hanh | buddhism,owned
A Handful of Quiet | Thich Nhat Hanh | buddhism,owned
Mindfulness as Medicine | Sister Dang Nghiêm | buddhism,owned
Interbeing | Thich Nhat Hanh | buddhism,owned
Love Letter to the Earth | Thich Nhat Hanh | buddhism,owned
Making Space | Thich Nhat Hanh | buddhism,owned
Inside the Now | Thich Nhat Hanh | buddhism,owned
Flowers in the Dark | Sister Dang Nghiêm | buddhism,owned
Breathe, You Are Alive | Thich Nhat Hanh | buddhism,owned
Social Engineering | Christopher Hadnagy | security,owned
Tribe of Hackers | Marcus J. Carey | security,owned
Secrets and Lies | Bruce Schneier | security,owned
Liars and Outliers | Bruce Schneier | security,owned
The Art of Attack | Maxie Reynolds | security,owned
The Art of Deception | Kevin Mitnick | security,owned
Black Hat Python | Justin Seitz | security,owned
Grey Hat Python | Justin Seitz | security,owned
Teach Your Kids to Code | Bryson Payne | parenting,owned
We Have Root | Bruce Schneier | security,owned
The Shellcoder's Handbook | Chris Anley | security,owned
Hacking the Xbox | Andrew Huang | security,owned
Attacking Network Protocols | James Forshaw | security,owned
A Bug Hunter's Diary | Tobias Klein | security,owned
Serious Cryptography | Jean-Philippe Aumasson | security,owned
PoC||GTFO | Manual Laphroaig | security,owned
PoC||GTFO, Vol. 2 | Manual Laphroaig | security,owned
Silence on the Wire | Michal Zalewski | security,owned
The Tangled Web | Michal Zalewski | security,owned
Sustainability | Kent E. Portneya | owned,knowledge
Information and Society | Michael Buckland | owned,knowledge
Self-Tracking | Gina Neff | owned,knowledge
Smart Girl's Guide to Privacy | Violet Blue | tech,owned
The Web Application Hacker's Handbook | Dafydd Stuttard | security,owned
Astro Noise | Laura Poitras | knowledge,tech
Echoes of Sherlock Holmes | Laurie R King | thriller,spl,scld
An Introduction to Electronic Warfare | Chi-Hao Cheng | owned,knowledge,tech
The Atlas of Christmas | Alex Palmer | christmas,scld
Holidays on Ice | David Sedaris | christmas,scld
Hogfather | Terry Pratchett | christmas,spl,scld
Gulliver's Travels | Jonathan Swift | owned,supernatural
The Invisible Library | Genevieve Cogman | libby,dark-academia
Wanderlust | Rebecca Solnit | knowledge,scld
Art & Fear | David Bayles | art
Breath | James Nestor | self,libby
Kiki's Delivery Service | Eiko Kadona | supernatural
Battle Royale | Koushun Takami | thriller
Stolen Tongues | Felix Balckwell | horror
The October Country | Ray Bradbury | horror
The Weird | Ann and Jeff VanderMeer | horror,spl
At Home in the World | Thich Nhat Hanh | buddhism,owned
An Introduction to Information Theory: Symbols, Signals, and Noise | John R. Pierce | knowledge,tech
UNO, DOS, CUATRO | Havana Moon | knowledge,tech
Buzzers | Maurice Rosaler | thriller
How to Tune the Secret Shortwave Spectrum | Harry L Helms | knowledge,tech
Order of Cosmic Champions | Anthony Rapino & Anthony Grate | fantasy
The Viking Spirit | Daniel McCoy | mythology,norse
The Poetic Edda | Jackson Crawford | mythology,norse,spl
The Prose Edda | Snorri Sturluson | mythology,norse,owned
Norse Mythology | Neil Gaiman | mythology,norse,libby
Data and Goliath | Bruce Schneier | security,libby
A Hacker's Mind | Bruce Schneier | security,spl,scld
The Book of Delights | Ross Gay | libby,essays
Breaking Things at Work | Gavin Mueller | tech,knowledge
Stepping into Freedom | Thich Nhat Hanh | buddhism,owned
A Mystery of Mysteries | Mark Dawidziak | libby,biography
Ghost Eaters | Clay McLeod Chapman | libby,horror
Hidden Pictures | Jason Rekulak | libby,horror
Girls to the Front | Sara Marcus | feminism,knowledge
Coding Freedom | Gabriella Coleman | hackers
Found Audio | NJ Campbell | horror
Last Days | Adam Neville | horror
N | Stephen King | horror,spl,scld
Video Palace | Dr Maynard Wills | horror,owned
Where the Gods Sleep | Mike Duke | kindle-unlimited,horror
Scanlines | Tod Keisling | horror
The Lost Village | Camilla Sten | horror,spl,scld
14 | Peter Clines | horror
A Quiet Mind | Shoukei Matsumoto | owned,buddhism
Goosebumps #6 Let's Get Invisible! | R.L. Stine | owned
Joyful Militancy | Nick Montgomery, Carla Bergman | self,scld
The Magical Writing Grimoire | Lisa Marie Basile | witchcraft,writing
Daily Rituals | Mason Currey | art,spl,scld
Railway Ghosts and Highway Horrors | Daniel Cohen | ghosts
IDENTIFIED | John Wilander | hackers
Stranger Things: Heroes and Monsters | Rana Tahir | stranger-things,scld
Stranger Things: Flight of Icarus | Caitlin Schneiderhan | stranger-things,spl
Spines | Jamie Killen | horror,owned
Stoicism and the Art of Happiness | Donald Robertson | owned,philosophy
The Obstacle Is the Way | Ryan Holiday | philosophy,owned
Everyday Matters | Danny Gregory | art
In Defense of Witches | Mona Chollet | witchcraft,spl,scld
Slow Seasons | Rosie Steer | nature,self
Radically Content | Jamie Varon | self
Artists Sketchbook | Cathy Johnson | art
The Art of the Travel Journal | Abbey Sy | art
D&D Dungeon Academy No Humans Allowed | Madeleine Roux | fantasy,libby
The Hacker Mindset | Garrett Gee | hackers
Space Rogue | Cris Thomas | hackers
The Creative Act: A Way of Being | Rick Rubin | art,spl,scld
The Dark Place | Britney S. Lewis | horror,scld
The Melancholy of Mechagirl | Catherynne M Valente | horror
The Cabin at the End of the World | Paul Tremblay | libby,horror
Growing Things | Paul Tremblay | libby,horror
Echoes | Ellen Datlow | ghosts,libby
Writing Down the Bones | Natalie Goldberg | writing,spl,scld
The PARA Method | Tiago Forte | self
HJPEV and the Professor's Games | Eliezer Yudkowsky | owned,fanfiction
HJPEV and the Shadows of Death | Eliezer Yudkowsky | owned,fanfiction
HJG and the Phoenix's Call | Eliezer Yudkowsky | owned,fanfiction
HJPEV and the Last Enemy | Eliezer Yudkowsky | owned,fanfiction
HJPEV and the Philosopher's Stone | Eliezer Yudkowsky | owned,fanfiction
All the Young Dudes | MsKingBean89 | owned,fanfiction
James Potter And The Hall Of Elders Crossing | George Lippert | owned,fanfiction
FOUND | Andrew Cull | horror
The Chaos Machine | Max Fisher | tech,libby
Getting Things Done | David Allen | self,libby
The Private Lives of Public Birds | Jack Gedney | birds,nature,spl
Flight Paths | Rebecca Heisman | birds,nature,spl,scld
Cyberpunk 2077: No Coincidence | Rafal Kosik | cyberpunk,spl
Cyberpunk 2077: 2AM - She Calls | Tomasz Marchewka | cyberpunk
The Witch | Ronald Hutton | witches,witchcraft,spl,scld
Good Inside | Dr. Becky Kennedy | parenting,libby
Spirit Legacy | E.E. Holmes | ghosts,kindle-unlimited,scld
A Spell in the Wild | Alice Tarbuck | witchcraft,owned
The Witch's Herbal Apothecary | Marysia Miernowska | witchcraft,libby
You Face Belongs To Us | Kashmir Hill | tech,spl
The Library at Mount Char | Scott Hawkins | fantasy,libby
Cyberpunk | Katie Hafner and John Markoff | hackers,kindle-unlimited
The Three Pillars of Zen | Philip Kapleau | buddhism,owned
Personal Magic | Marion Weinstein | witchcraft,owned
HJPEV and the Methods of Rationality | Eliezer Yudkowsky | owned,fanfiction
Lost Signals | Max Booth III | horror,owned
Stolen Focus | Johann Hari | self,libby
Schrader's Chord | Scott Leeds | horror,libby
Your Brain on Art | Susan Magsamen, Ivy Ross | art,spl,scld
Exploring The Moon Through Binoculars | Ernest Cherrington | nature
Mindfully Green | Stephanie Kaza | buddhism,nature
Fungi Delight of Curiosity | Harold Johnston Brodie | nature
In the Company of Mushrooms | Moselio Schaechter | nature
The Real World of Technology | Ursula M. Franklin | tech,self
Deep Dive | Rae Baker | security,osint
Henry Thoreau | Robert D. Richardson Jr. | biography
Emerson | Robert D. Richardson Jr. | biography
The Bible KJV | Unknown | religion,owned
The Quran | Unknown | religion,owned
The Satanic Bible | Anton Szandor Lavey | religion,owned
Freedom Seeker | Beth Kempton | self,owned
City Witchery | Lisa Marie Basile | witchcraft,scld
Winter Celebrations | Arounna Khounnoraj | christmas,scld
Stranger Things: The Bully | Greg Pak | stranger-things
Stranger Things: Zombie Boys | Greg Pak | stranger-things
Stranger Things: Erica the Great | Danny Lore | stranger-things
Deep Work | Cal Newport | self,work,libby
Learning True Love | Sister Chan Khong | buddhism,owned
Peace Begins Here | Thich Nhat Hanh | buddhism,owned
True Peace Work | Thich Nhat Hanh | buddhism,owned
Stranger Things: Kamchatka | Michael Moreci | stranger-things
So Good They Can't Ignore You | Cal Newport | self,work,libby
The Quiet Room | Terry Miles | thriller,owned
Radiant Rest | Tracee Stanley-Newell | health,scld
Year of the Witch | Temperance Alden | witchcraft,owned
Before the Coffee Gets Cold: Tales from the Café | Toshikazu Kawaguchi | contemporary,spl,scld
Black Hat GraphQL | Nick Aleks | security,owned
Bug Bounty Bootcamp | Vickie Li | security,owned
Designing Secure Software | Loren Kohnfelder | security,development,owned
Hacking APIs | Corey J. Ball | security,owned
Learning True Love | Sister Chan Khong | buddhism,owned
Peace Begins Here | Thich Nhat Hanh | buddhism,owned
True Peace Work | Parallax Press | buddhism,owned
Wiktopher | Rek Bell | fantasy,owned
Drawing Comics Lab | Robyn Chapman | art,owned
100 Things Every Artist Should | Various Artists | art,owned
Fearless Drawing | Kerry Lemon | art,owned
Draw Like an Artist | Chris Legaspi | art,owned
The Urban Sketching Handbook: Working with Color | Shari Blaukopf | art,owned
Draw Every Little Thing | Flora Waycott | art,owned
The Complete Urban Sketching Companion | Gabriel Campanario | art,owned
One Drawing a Day | Veronica Lawlor | art,owned
The Urban Sketching Handbook: Understanding Perspective | Stephanie Bower | art,owned
Creative Revolution | Flora Bowley | art,owned
If You Can Doodle, You Can Pain | Diane Culhane | art,owned
Drawing for Joy | Stephanie Peterson Jones | art,owned
Art Starts with a Line | Erin McManness | art,owned
The Urban Sketching Handbook: 101 Sketching Tips | Stephanie Bower | art,owned
Beginning Drawing | Alain Picard | art,owned
The Joy of Lettering | Gabri Kirkendall | art,owned
How to Draw & Paint: Faces & Features | Debra Kauffman Yaun | art,owned
Drawing the Head for Artists | Oliver Sin | art,owned
Drawing School: Fundamentals for the Beginner | Jim Dowdallsd | art,owned
The Complete Beginner's Guide to Drawing | Walter Foster Publishing | art,owned
The Complete Photo Guide to Hand Lettering and Calligraphy | Abbey Sy | art,owned
Domain-Driven Design | Eric Evans | development,owned
A Boy Called Christmas | Matt Haig | christmas,owned
The Christmas Box | Richard Paul Evans | christmas,owned
Christmas and Other Horrors | Ellen Datlow | christmas,horror,spl,scld
Storm Front | Jim Butcher | supernatural,thriller,spl,scld
Beginning Anew | Chan Khong | buddhism,owned
Little Book of Contentment | Leo Babauta | self,owned
The One Skill | Leo Babauta | self,owned
Moon Bath | Dakota Hills | witchcraft,owned
